instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
211574533,826463,BANKEX26MARFUT,BANKEX,0.0,2026-03-25,0.0,0.05,30,FUT,BFO-FUT,BFO
218528261,853626,BANKEX26APRFUT,BANKEX,0.0,2026-04-30,0.0,0.05,30,FUT,BFO-FUT,BFO
223026437,871197,BANKEX26MAYFUT,BANKEX,0.0,2026-05-27,0.0,0.05,30,FUT,BFO-FUT,BFO
211344645,825565,SENSEX26MARFUT,SENSEX,0.0,2026-03-25,0.0,0.05,20,FUT,BFO-FUT,BFO
218263557,852592,SENSEX26APRFUT,SENSEX,0.0,2026-04-30,0.0,0.05,20,FUT,BFO-FUT,BFO
222776325,870220,SENSEX26MAYFUT,SENSEX,0.0,2026-05-27,0.0,0.05,20,FUT,BFO-FUT,BFO
212559877,830312,SENSEX5026MARFUT,SENSEX50,0.0,2026-03-25,0.0,0.05,75,FUT,BFO-FUT,BFO
217409797,849257,SENSEX5026APRFUT,SENSEX50,0.0,2026-04-30,0.0,0.05,75,FUT,BFO-FUT,BFO
223939333,874763,SENSEX5026MAYFUT,SENSEX50,0.0,2026-05-27,0.0,0.05,75,FUT,BFO-FUT,BFO
212082949,828449,BANKEX26MAR62900PE,BANKEX,0.0,2026-03-25,62900.0,0.05,30,PE,BFO-OPT,BFO
212850181,831446,BANKEX26MAR62900CE,BANKEX,0.0,2026-03-25,62900.0,0.05,30,CE,BFO-OPT,BFO
211322885,825480,BANKEX26MAR63000PE,BANKEX,0.0,2026-03-25,63000.0,0.05,30,PE,BFO-OPT,BFO
211949317,827927,BANKEX26MAR63000CE,BANKEX,0.0,2026-03-25,63000.0,0.05,30,CE,BFO-OPT,BFO
212145157,828692,BANKEX26MAR62800CE,BANKEX,0.0,2026-03-25,62800.0,0.05,30,CE,BFO-OPT,BFO
212665605,830725,BANKEX26MAR62800PE,BANKEX,0.0,2026-03-25,62800.0,0.05,30,PE,BFO-OPT,BFO
211492101,826141,BANKEX26MAR63100CE,BANKEX,0.0,2026-03-25,63100.0,0.05,30,CE,BFO-OPT,BFO
211882501,827666,BANKEX26MAR63100PE,BANKEX,0.0,2026-03-25,63100.0,0.05,30,PE,BFO-OPT,BFO
211151621,824811,BANKEX26MAR62700PE,BANKEX,0.0,2026-03-25,62700.0,0.05,30,PE,BFO-OPT,BFO
212721925,830945,BANKEX26MAR62700CE,BANKEX,0.0,2026-03-25,62700.0,0.05,30,CE,BFO-OPT,BFO
211040773,824378,BANKEX26MAR63200CE,BANKEX,0.0,2026-03-25,63200.0,0.05,30,CE,BFO-OPT,BFO
211432965,825910,BANKEX26MAR63200PE,BANKEX,0.0,2026-03-25,63200.0,0.05,30,PE,BFO-OPT,BFO
212027909,828234,BANKEX26MAR62600CE,BANKEX,0.0,2026-03-25,62600.0,0.05,30,CE,BFO-OPT,BFO
212549893,830273,BANKEX26MAR62600PE,BANKEX,0.0,2026-03-25,62600.0,0.05,30,PE,BFO-OPT,BFO
211614725,826620,BANKEX26MAR63300CE,BANKEX,0.0,2026-03-25,63300.0,0.05,30,CE,BFO-OPT,BFO
212007173,828153,BANKEX26MAR63300PE,BANKEX,0.0,2026-03-25,63300.0,0.05,30,PE,BFO-OPT,BFO
211029509,824334,BANKEX26MAR62500PE,BANKEX,0.0,2026-03-25,62500.0,0.05,30,PE,BFO-OPT,BFO
212611589,830514,BANKEX26MAR62500CE,BANKEX,0.0,2026-03-25,62500.0,0.05,30,CE,BFO-OPT,BFO
211163653,824858,BANKEX26MAR63400CE,BANKEX,0.0,2026-03-25,63400.0,0.05,30,CE,BFO-OPT,BFO
211554053,826383,BANKEX26MAR63400PE,BANKEX,0.0,2026-03-25,63400.0,0.05,30,PE,BFO-OPT,BFO
211907845,827765,BANKEX26MAR62400CE,BANKEX,0.0,2026-03-25,62400.0,0.05,30,CE,BFO-OPT,BFO
212303877,829312,BANKEX26MAR62400PE,BANKEX,0.0,2026-03-25,62400.0,0.05,30,PE,BFO-OPT,BFO
211733253,827083,BANKEX26MAR63500CE,BANKEX,0.0,2026-03-25,63500.0,0.05,30,CE,BFO-OPT,BFO
212120325,828595,BANKEX26MAR63500PE,BANKEX,0.0,2026-03-25,63500.0,0.05,30,PE,BFO-OPT,BFO
212493573,830053,BANKEX26MAR62300CE,BANKEX,0.0,2026-03-25,62300.0,0.05,30,CE,BFO-OPT,BFO
212891909,831609,BANKEX26MAR62300PE,BANKEX,0.0,2026-03-25,62300.0,0.05,30,PE,BFO-OPT,BFO
211282949,825324,BANKEX26MAR63600CE,BANKEX,0.0,2026-03-25,63600.0,0.05,30,CE,BFO-OPT,BFO
211673093,826848,BANKEX26MAR63600PE,BANKEX,0.0,2026-03-25,63600.0,0.05,30,PE,BFO-OPT,BFO
210975237,824122,BANKEX26MAR62200CE,BANKEX,0.0,2026-03-25,62200.0,0.05,30,CE,BFO-OPT,BFO
212183301,828841,BANKEX26MAR62200PE,BANKEX,0.0,2026-03-25,62200.0,0.05,30,PE,BFO-OPT,BFO
211842821,827511,BANKEX26MAR63700CE,BANKEX,0.0,2026-03-25,63700.0,0.05,30,CE,BFO-OPT,BFO
215775237,842872,BANKEX26MAR77500CE,BANKEX,0.0,2026-03-25,77500.0,0.05,30,CE,BFO-OPT,BFO
215799813,842968,BANKEX26MAR77500PE,BANKEX,0.0,2026-03-25,77500.0,0.05,30,PE,BFO-OPT,BFO
215804165,842985,BANKEX26MAR77400CE,BANKEX,0.0,2026-03-25,77400.0,0.05,30,CE,BFO-OPT,BFO
215826693,843073,BANKEX26MAR77400PE,BANKEX,0.0,2026-03-25,77400.0,0.05,30,PE,BFO-OPT,BFO
215766021,842836,BANKEX26MAR77300CE,BANKEX,0.0,2026-03-25,77300.0,0.05,30,CE,BFO-OPT,BFO
215793157,842942,BANKEX26MAR77300PE,BANKEX,0.0,2026-03-25,77300.0,0.05,30,PE,BFO-OPT,BFO
215796997,842957,BANKEX26MAR77200CE,BANKEX,0.0,2026-03-25,77200.0,0.05,30,CE,BFO-OPT,BFO
215821061,843051,BANKEX26MAR77200PE,BANKEX,0.0,2026-03-25,77200.0,0.05,30,PE,BFO-OPT,BFO
214869509,839334,BANKEX26MAR77100CE,BANKEX,0.0,2026-03-25,77100.0,0.05,30,CE,BFO-OPT,BFO
214903301,839466,BANKEX26MAR77100PE,BANKEX,0.0,2026-03-25,77100.0,0.05,30,PE,BFO-OPT,BFO
214560261,838126,BANKEX26MAR77000CE,BANKEX,0.0,2026-03-25,77000.0,0.05,30,CE,BFO-OPT,BFO
214616837,838347,BANKEX26MAR77000PE,BANKEX,0.0,2026-03-25,77000.0,0.05,30,PE,BFO-OPT,BFO
214671877,838562,BANKEX26MAR76900CE,BANKEX,0.0,2026-03-25,76900.0,0.05,30,CE,BFO-OPT,BFO
214725637,838772,BANKEX26MAR76900PE,BANKEX,0.0,2026-03-25,76900.0,0.05,30,PE,BFO-OPT,BFO
214484997,837832,BANKEX26MAR76800CE,BANKEX,0.0,2026-03-25,76800.0,0.05,30,CE,BFO-OPT,BFO
214646277,838462,BANKEX26MAR76800PE,BANKEX,0.0,2026-03-25,76800.0,0.05,30,PE,BFO-OPT,BFO
214655749,838499,BANKEX26MAR76700CE,BANKEX,0.0,2026-03-25,76700.0,0.05,30,CE,BFO-OPT,BFO
214714373,838728,BANKEX26MAR76700PE,BANKEX,0.0,2026-03-25,76700.0,0.05,30,PE,BFO-OPT,BFO
214518533,837963,BANKEX26MAR76600PE,BANKEX,0.0,2026-03-25,76600.0,0.05,30,PE,BFO-OPT,BFO
214720517,838752,BANKEX26MAR76600CE,BANKEX,0.0,2026-03-25,76600.0,0.05,30,CE,BFO-OPT,BFO
214637829,838429,BANKEX26MAR76500CE,BANKEX,0.0,2026-03-25,76500.0,0.05,30,CE,BFO-OPT,BFO
214696197,838657,BANKEX26MAR76500PE,BANKEX,0.0,2026-03-25,76500.0,0.05,30,PE,BFO-OPT,BFO
214265093,836973,BANKEX26MAR76400PE,BANKEX,0.0,2026-03-25,76400.0,0.05,30,PE,BFO-OPT,BFO
214388229,837454,BANKEX26MAR76400CE,BANKEX,0.0,2026-03-25,76400.0,0.05,30,CE,BFO-OPT,BFO
214104837,836347,BANKEX26MAR76300PE,BANKEX,0.0,2026-03-25,76300.0,0.05,30,PE,BFO-OPT,BFO
214187013,836668,BANKEX26MAR76300CE,BANKEX,0.0,2026-03-25,76300.0,0.05,30,CE,BFO-OPT,BFO
214132741,836456,BANKEX26MAR76200CE,BANKEX,0.0,2026-03-25,76200.0,0.05,30,CE,BFO-OPT,BFO
214214149,836774,BANKEX26MAR76200PE,BANKEX,0.0,2026-03-25,76200.0,0.05,30,PE,BFO-OPT,BFO
214067973,836203,BANKEX26MAR76100PE,BANKEX,0.0,2026-03-25,76100.0,0.05,30,PE,BFO-OPT,BFO
